Cell_ID,Year,Forest_Loss_ha,Forest_Loss_ha
G25_000522,2009,0.0,0.0
G25_000523,2009,0.0,0.0
G25_000524,2009,0.0,0.0
G25_000525,2009,0.0,0.0
G25_000526,2009,0.0,0.0
G25_000527,2009,0.0,0.0
G25_000528,2009,0.0,0.0
G25_000529,2009,0.0,0.0
G25_000530,2009,0.0,0.0
G25_000531,2009,0.0,0.0
G25_000532,2009,0.0,0.0
G25_000533,2009,0.0,0.0
G25_000534,2009,0.0,0.0
G25_000535,2009,0.0,0.0
G25_000536,2009,0.0,0.0
G25_000537,2009,0.0,0.0
G25_000538,2009,0.0,0.0
G25_000539,2009,0.0,0.0
G25_000540,2009,0.0,0.0
G25_000541,2009,0.0,0.0
G25_000542,2009,0.0,0.0
G25_000543,2009,0.0,0.0
G25_000544,2009,0.0,0.0
G25_000545,2009,0.0,0.0
G25_000546,2009,0.0,0.0
G25_000547,2009,0.0,0.0
G25_000548,2009,0.0,0.0
G25_000549,2009,0.0,0.0
G25_000550,2009,0.0,0.0
G25_000551,2009,0.0,0.0
G25_000552,2009,0.0,0.0
G25_000553,2009,0.0,0.0
G25_000554,2009,0.0,0.0
G25_000555,2009,0.0,0.0
G25_000556,2009,0.0,0.0
G25_000557,2009,0.0,0.0
G25_000558,2009,0.0,0.0
G25_000559,2009,0.0,0.0
G25_000560,2009,0.0,0.0
G25_000561,2009,0.0,0.0
G25_000562,2009,0.0,0.0
G25_000563,2009,0.0,0.0
G25_000564,2009,0.0,0.0
G25_000565,2009,0.0,0.0
G25_000566,2009,0.0,0.0
G25_000567,2009,0.0,0.0
G25_000568,2009,0.0,0.0
G25_000569,2009,0.0,0.0
G25_000570,2009,0.0,0.0
G25_000571,2009,0.0,0.0
G25_000572,2009,0.0,0.0
G25_000573,2009,0.0,0.0
G25_000574,2009,0.0,0.0
G25_000575,2009,0.0,0.0
G25_000576,2009,0.0,0.0
G25_000577,2009,0.0,0.0
G25_000578,2009,0.0,0.0
G25_000579,2009,0.0,0.0
G25_000580,2009,0.0,0.0
G25_000581,2009,0.0,0.0
G25_000582,2009,0.0,0.0
G25_000583,2009,0.0,0.0
G25_000584,2009,0.0,0.0
G25_000585,2009,0.0,0.0
G25_000586,2009,0.0,0.0
G25_000587,2009,0.0,0.0
G25_000588,2009,0.0,0.0
G25_000589,2009,0.0,0.0
G25_000590,2009,0.0,0.0
G25_000591,2009,0.0,0.0
G25_000592,2009,0.0,0.0
G25_000593,2009,0.0,0.0
G25_000594,2009,0.0,0.0
G25_000595,2009,0.0,0.0
G25_000596,2009,0.0,0.0
G25_000597,2009,0.0,0.0
G25_000598,2009,0.0,0.0
G25_000599,2009,0.0,0.0
G25_000600,2009,0.0,0.0
G25_000601,2009,0.0,0.0
G25_000602,2009,0.0,0.0
G25_000603,2009,0.0,0.0
G25_000604,2009,0.0,0.0
G25_000605,2009,0.0,0.0
G25_000606,2009,0.0,0.0
G25_000607,2009,0.0,0.0
G25_000608,2009,0.0,0.0
G25_000609,2009,0.0,0.0
G25_000610,2009,0.0,0.0
G25_000611,2009,0.0,0.0
G25_000612,2009,0.0,0.0
G25_000613,2009,0.0,0.0
G25_000614,2009,0.0,0.0
G25_000615,2009,0.0,0.0
G25_000616,2009,0.0,0.0
G25_000617,2009,0.0,0.0
G25_000618,2009,0.0,0.0
G25_000619,2009,0.0,0.0
G25_000620,2009,0.0,0.0
G25_000621,2009,0.0,0.0
G25_000622,2009,0.0,0.0
G25_000623,2009,0.0,0.0
G25_000624,2009,0.0,0.0
G25_000625,2009,0.0,0.0
G25_000626,2009,0.0,0.0
G25_000627,2009,0.0,0.0
G25_000628,2009,0.0,0.0
G25_000629,2009,0.0,0.0
G25_000630,2009,0.0,0.0
G25_000631,2009,0.0,0.0
G25_000632,2009,0.0,0.0
G25_000633,2009,0.0,0.0
G25_000634,2009,0.0,0.0
G25_000635,2009,0.0,0.0
G25_000636,2009,0.0,0.0
G25_000637,2009,0.0,0.0
G25_000638,2009,0.0,0.0
G25_000639,2009,0.0,0.0
G25_000640,2009,0.0,0.0
G25_000641,2009,0.0,0.0
G25_000642,2009,0.0,0.0
G25_000643,2009,0.0,0.0
G25_000644,2009,0.0,0.0
G25_000645,2009,0.0,0.0
G25_000646,2009,0.0,0.0
G25_000647,2009,0.0,0.0
G25_000648,2009,0.0,0.0
G25_000649,2009,0.0,0.0
G25_000650,2009,0.0,0.0
G25_000651,2009,0.0,0.0
G25_000652,2009,0.0,0.0
G25_000653,2009,0.0,0.0
G25_000654,2009,0.0,0.0
G25_000655,2009,0.0,0.0
G25_000656,2009,0.0,0.0
G25_000657,2009,0.0,0.0
G25_000658,2009,0.0,0.0
G25_000659,2009,0.0,0.0
G25_000660,2009,0.0,0.0
G25_000661,2009,0.0,0.0
G25_000662,2009,0.0,0.0
G25_000663,2009,0.0,0.0
G25_000664,2009,0.0,0.0
G25_000665,2009,0.0,0.0
G25_000666,2009,0.0,0.0
G25_000667,2009,0.0,0.0
G25_000668,2009,0.0,0.0
G25_000669,2009,0.0,0.0
G25_000670,2009,0.0,0.0
G25_000671,2009,0.0,0.0
G25_000672,2009,0.0,0.0
G25_000673,2009,0.0,0.0
G25_000674,2009,0.0,0.0
G25_000675,2009,0.0,0.0
G25_000676,2009,0.0,0.0
G25_000677,2009,0.0,0.0
G25_000678,2009,0.0,0.0
G25_000679,2009,0.0,0.0
G25_000680,2009,0.0,0.0
G25_000681,2009,0.0,0.0
G25_000682,2009,0.0,0.0
G25_000683,2009,0.0,0.0
G25_000684,2009,0.0,0.0
G25_000685,2009,0.0,0.0
G25_000686,2009,0.0,0.0
G25_000687,2009,0.0,0.0
G25_000688,2009,0.0,0.0
G25_000689,2009,0.0,0.0
G25_000690,2009,0.0,0.0
G25_000691,2009,0.0,0.0
G25_000692,2009,0.0,0.0
G25_000693,2009,0.0,0.0
G25_000694,2009,0.0,0.0
G25_000695,2009,0.0,0.0
G25_000696,2009,0.0,0.0
G25_000697,2009,0.0,0.0
G25_000698,2009,0.0,0.0
G25_000699,2009,0.0,0.0
G25_000700,2009,0.0,0.0
G25_000701,2009,0.0,0.0
G25_000702,2009,0.0,0.0
G25_000703,2009,0.0,0.0
G25_000704,2009,0.0,0.0
G25_000705,2009,0.0,0.0
G25_000706,2009,0.0,0.0
G25_000707,2009,0.0,0.0
G25_000708,2009,0.0,0.0
G25_000709,2009,0.0,0.0
G25_000710,2009,0.0,0.0
G25_000711,2009,0.0,0.0
G25_000712,2009,0.0,0.0
G25_000713,2009,0.0,0.0
G25_000714,2009,0.0,0.0
G25_000715,2009,0.0,0.0
G25_000716,2009,0.0,0.0
G25_000717,2009,0.0,0.0
G25_000718,2009,0.0,0.0
G25_000719,2009,0.0,0.0
G25_000720,2009,0.0,0.0
G25_000721,2009,0.0,0.0
G25_000722,2009,0.0,0.0
G25_000723,2009,0.0,0.0
G25_000724,2009,0.0,0.0
G25_000725,2009,0.0,0.0
G25_000726,2009,0.0,0.0
G25_000727,2009,0.0,0.0
G25_000728,2009,0.0,0.0
G25_000729,2009,0.0,0.0
G25_000730,2009,0.0,0.0
G25_000731,2009,0.0,0.0
G25_000732,2009,0.0,0.0
G25_000733,2009,0.0,0.0
G25_000734,2009,0.0,0.0
