Cell_ID,Year,Baseline_Forest_ha
G25_000640,2000,8.83086781474992
G25_000641,2000,0.0
G25_000642,2000,0.0
G25_000643,2000,0.0
G25_000644,2000,0.866699249267578
G25_000645,2000,1.2890119343836168
G25_000646,2000,0.2165504699707031
G25_000647,2000,0.0
G25_000648,2000,0.0
G25_000649,2000,0.0
G25_000650,2000,0.0
G25_000651,2000,0.0
G25_000652,2000,0.0
G25_000653,2000,0.0
G25_000654,2000,7.436983191755706
G25_000655,2000,8.847404007448684
G25_000656,2000,76.01041879471127
G25_000657,2000,151.9187571104283
G25_000658,2000,112.52895864061573
G25_000659,2000,90.5371741034056
G25_000660,2000,146.9730889059386
G25_000661,2000,98.83033387458394
G25_000662,2000,237.1485900085632
G25_000663,2000,262.12736261762257
G25_000664,2000,144.5877454685821
G25_000665,2000,19.535737946394384
G25_000666,2000,24.327946737802524
G25_000667,2000,11.919637518525962
G25_000668,2000,0.0
G25_000669,2000,5.002197210860908
G25_000670,2000,0.6176212400668275
G25_000671,2000,3.848728790594362
G25_000672,2000,27.80233194671034
G25_000673,2000,9.28661699884154
G25_000674,2000,0.291565869140625
G25_000675,2000,0.0
G25_000676,2000,10.403900446585869
G25_000677,2000,1.5416462498803236
G25_000678,2000,2.6209801513671875
G25_000679,2000,0.0
G25_000680,2000,0.0
G25_000681,2000,1.5276970642089842
G25_000682,2000,1.1637599609375002
G25_000683,2000,0.0727199951171875
G25_000684,2000,0.0
G25_000685,2000,0.0
G25_000686,2000,0.0
G25_000687,2000,0.0
G25_000688,2000,0.0
G25_000689,2000,0.0
G25_000690,2000,0.0
G25_000691,2000,0.0
G25_000692,2000,0.0
G25_000693,2000,0.5801180419921875
G25_000694,2000,3.2524381896972643
G25_000695,2000,0.0
G25_000696,2000,0.0
G25_000697,2000,0.0
G25_000698,2000,0.0
G25_000699,2000,0.0
G25_000700,2000,0.0
G25_000701,2000,0.0
G25_000702,2000,0.0
G25_000703,2000,2.647081289660885
G25_000704,2000,0.0
G25_000705,2000,0.0
G25_000706,2000,0.0
G25_000707,2000,0.6499692687988282
G25_000708,2000,1.2274871826171874
G25_000709,2000,1.5158765625
G25_000710,2000,0.0
G25_000711,2000,1.0100888366699217
G25_000712,2000,0.0
G25_000713,2000,0.288408203125
G25_000714,2000,0.0
G25_000715,2000,0.0
G25_000716,2000,0.0
G25_000717,2000,0.0
G25_000718,2000,30.44651787387025
G25_000719,2000,32.03167885969571
G25_000720,2000,114.07830644433132
G25_000721,2000,149.75841169581963
G25_000722,2000,158.83198713182654
G25_000723,2000,130.37713386771412
G25_000724,2000,186.7769769366576
G25_000725,2000,156.0971361495666
G25_000726,2000,147.76193054687536
G25_000727,2000,152.68682923734784
G25_000728,2000,164.7882195098523
G25_000729,2000,68.3024044523351
G25_000730,2000,94.40365836990632
G25_000731,2000,166.178970208022
G25_000732,2000,224.4780181323952
G25_000733,2000,115.33124895179895
G25_000734,2000,129.1495776123045
G25_000735,2000,125.73313043428293
G25_000736,2000,45.019451943814175
G25_000737,2000,38.152536577962216
G25_000738,2000,28.810976904440498
G25_000739,2000,117.34554113817389
G25_000740,2000,121.85429672909018
G25_000741,2000,167.6099372202199
G25_000742,2000,175.59928211885375
G25_000743,2000,302.2005873714198
G25_000744,2000,183.057323701555
G25_000745,2000,123.00410895301928
G25_000746,2000,22.98208666697779
G25_000747,2000,6.060318879849303
G25_000748,2000,14.62233860858993
G25_000749,2000,1.1834159063601029
G25_000750,2000,4.960557098388672
G25_000751,2000,12.817762951995242
G25_000752,2000,79.9486236592848
G25_000753,2000,0.2186786926269531
G25_000754,2000,0.0
G25_000755,2000,25.198169349437077
G25_000756,2000,6.764506620136332
G25_000757,2000,2.912202295065487
G25_000758,2000,0.0
G25_000759,2000,0.0
G25_000760,2000,0.5092507568359376
G25_000761,2000,0.0
G25_000762,2000,0.0
G25_000763,2000,0.2180547180175781
G25_000764,2000,0.0
G25_000765,2000,0.0
G25_000766,2000,0.2178722290039062
G25_000767,2000,0.2178199584960937
G25_000768,2000,0.0
G25_000769,2000,0.0
G25_000770,2000,0.0
G25_000771,2000,0.0725229248046875
G25_000772,2000,0.0
G25_000773,2000,0.4349168334960937
G25_000774,2000,0.0
G25_000775,2000,0.8693179382324219
G25_000776,2000,2.165615807985792
G25_000777,2000,0.5068863342285156
G25_000778,2000,0.0
G25_000779,2000,0.0
G25_000780,2000,0.0
G25_000781,2000,0.0
G25_000782,2000,1.7529560061705354
G25_000783,2000,0.2891455322265625
G25_000784,2000,0.0
G25_000785,2000,0.0
